time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-04 00:00:00+00:00,145,49,250.0,3.0
2024-01-05 00:00:00+00:00,32,4,,
2024-01-08 00:00:00+00:00,2,2,,
2024-01-12 00:00:00+00:00,4,2,,
