time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-28 00:00:00+00:00,48,16,6.0,1.0
2023-12-29 00:00:00+00:00,67,23,19.0,3.0
2023-12-30 00:00:00+00:00,50,20,,
2023-12-31 00:00:00+00:00,43,14,1.0,1.0
2024-01-01 00:00:00+00:00,49,14,,
2024-01-02 00:00:00+00:00,59,20,1.0,1.0
2024-01-03 00:00:00+00:00,79,29,2.0,1.0
2024-01-04 00:00:00+00:00,72,27,5.0,2.0
2024-01-05 00:00:00+00:00,53,18,43.0,2.0
2024-01-06 00:00:00+00:00,70,22,,
2024-01-07 00:00:00+00:00,59,18,,
2024-01-08 00:00:00+00:00,60,20,2.0,1.0
2024-01-09 00:00:00+00:00,58,22,,
2024-01-10 00:00:00+00:00,72,23,2.0,1.0
