time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-04 00:00:00+00:00,58,24,5.0,2.0
2024-01-05 00:00:00+00:00,53,18,43.0,2.0
2024-01-06 00:00:00+00:00,70,22,,
2024-01-07 00:00:00+00:00,59,18,,
2024-01-08 00:00:00+00:00,60,20,2.0,1.0
2024-01-09 00:00:00+00:00,58,22,,
2024-01-10 00:00:00+00:00,72,23,2.0,1.0
2024-01-11 00:00:00+00:00,74,31,,
2024-01-12 00:00:00+00:00,77,34,,
2024-01-13 00:00:00+00:00,56,20,1.0,1.0
2024-01-14 00:00:00+00:00,48,19,,
2024-01-15 00:00:00+00:00,67,21,10.0,2.0
2024-01-16 00:00:00+00:00,68,24,,
2024-01-17 00:00:00+00:00,82,32,1.0,1.0
